None,,,,CY 2005,CY 2006,CY 2007,CY 2008,CY 2009,CY 2010,CY 2011,CY 2012,CY 2013,CY 2014,CY 2015,CY 2016,CY 2017
None,,,,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e,tCO2e
"(Sectors, Sector)","(Category, Label)","(Source, Label)","(Source, Units)",,,,,,,,,,,,,
Stationary Energy,Commercial and Institutional,#2 fuel oil,liters,855215.0,721117.0,829520.0,764594.0,854268.0,823320.0,805766.0,730188.0,934987.0,717215.0,935210.0,714888.0,617758.0
Stationary Energy,Commercial and Institutional,#4 fuel oil,liters,153274.0,128002.0,147839.0,126333.0,151661.0,149941.0,145452.0,144334.0,172805.0,105587.0,185295.0,135631.0,145400.0
Stationary Energy,Commercial and Institutional,#6 fuel oil,liters,270277.0,228337.0,283237.0,247457.0,282479.0,267820.0,251422.0,196179.0,145597.0,38105.0,17698.0,2370.0,1310.0
Stationary Energy,Commercial and Institutional,Biofuel,liters,1.0,2.0,3.0,2.0,4.0,2.0,4.0,11.0,16.0,11.0,14.0,12.0,19.0
Stationary Energy,Commercial and Institutional,Electricity,kWh,11253009.0,10254504.0,10650969.0,8750868.0,7428419.0,6649543.0,6973279.0,6462973.0,6472566.0,6399736.0,6250500.0,6288195.0,5806863.0
Stationary Energy,Commercial and Institutional,Natural gas,GJ,3039660.0,3014702.0,3195316.0,5531058.0,5708259.0,4897012.0,5112296.0,4698827.0,5480790.0,5861832.0,5748157.0,5589772.0,6161253.0
Stationary Energy,Commercial and Institutional,Steam,kg,1239372.0,990153.0,1035650.0,814252.0,837750.0,744424.0,708121.0,509367.0,597717.0,605180.0,569870.0,481522.0,430828.0
Stationary Energy,Fugitive,Fugitive CH4,GJ,207589.0,199919.0,217632.0,221018.0,220149.0,411536.0,428340.0,389429.0,440767.0,480624.0,472886.0,488415.0,493695.0
Stationary Energy,Manufacturing and Construction,#2 fuel oil,liters,196673.0,165835.0,190764.0,175833.0,196456.0,189339.0,185302.0,167921.0,215019.0,164938.0,215070.0,164402.0,142066.0
Stationary Energy,Manufacturing and Construction,#4 fuel oil,liters,32943.0,27511.0,31775.0,27152.0,32596.0,32226.0,31262.0,31021.0,37140.0,22693.0,39825.0,29151.0,31250.0
Stationary Energy,Manufacturing and Construction,#6 fuel oil,liters,20819.0,17589.0,21818.0,19061.0,21759.0,20630.0,19367.0,15112.0,11215.0,2935.0,1363.0,183.0,101.0
Stationary Energy,Manufacturing and Construction,Biofuel,liters,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0
Stationary Energy,Manufacturing and Construction,Electricity,kWh,3767250.0,3086750.0,3199736.0,2957720.0,2629126.0,2343386.0,2504742.0,2395147.0,2402886.0,2365278.0,2320895.0,2345110.0,2127938.0
Stationary Energy,Manufacturing and Construction,Natural gas,GJ,910089.0,902616.0,956693.0,593284.0,499671.0,1158830.0,1198391.0,1101903.0,6101884.0,1372611.0,1369385.0,1369580.0,1454160.0
Stationary Energy,Manufacturing and Construction,Steam,kg,371812.0,297046.0,310695.0,244276.0,251325.0,223327.0,212436.0,152810.0,179315.0,181554.0,170961.0,144456.0,129248.0
Stationary Energy,Residential,#2 fuel oil,liter,1509205.0,1272562.0,1463862.0,1349286.0,1507534.0,1452921.0,1421942.0,1288570.0,1649980.0,1265676.0,1650374.0,1261569.0,1090164.0
Stationary Energy,Residential,#4 fuel oil,liters,858782.0,717181.0,828331.0,707835.0,849740.0,840108.0,814956.0,808693.0,968211.0,591594.0,1038192.0,759929.0,814663.0
Stationary Energy,Residential,#6 fuel oil,liters,2202564.0,1860783.0,2308182.0,2016602.0,2302006.0,2182548.0,2048916.0,1598721.0,1186511.0,310527.0,144226.0,19314.0,10678.0
Stationary Energy,Residential,Biofuel,liters,5.0,10.0,11.0,9.0,14.0,9.0,15.0,45.0,65.0,44.0,57.0,48.0,76.0
Stationary Energy,Residential,Electricity,kWh,6079321.0,4932938.0,5176210.0,4844438.0,4530996.0,4290372.0,4520767.0,4282842.0,4219090.0,3984838.0,4035680.0,4023713.0,3672168.0
Stationary Energy,Residential,Natural gas,GJ,9088939.0,8639591.0,9517481.0,7758601.0,7620632.0,8648642.0,8994243.0,8113867.0,4156596.0,9938586.0,9778974.0,10492098.0,10024575.0
Stationary Energy,Residential,Steam,kg,332201.0,263360.0,270347.0,372781.0,385561.0,329473.0,323160.0,255853.0,318768.0,322749.0,286277.0,270734.0,250272.0
Transportation,Aviation,Jet fuel,liters,2426.0,2501.0,2436.0,2248.0,2113.0,2227.0,1836.0,1557.0,2071.0,2330.0,2643.0,2533.0,2501.0
Transportation,Marine Navigation,Biofuel,liters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,Marine Navigation,Gasoline,liters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transportation,Marine Navigation,Marine diesel,liters,49962.0,47518.0,32494.0,44911.0,45125.0,51608.0,53850.0,31646.0,89511.0,52770.0,55735.0,86108.0,48593.0
Transportation,On-Road,Buses , VMT ,687896.0,653674.0,719516.0,617620.0,608592.0,599078.0,568779.0,571889.0,573516.0,580459.0,561936.0,548489.0,532636.0
Transportation,On-Road,Heavy duty trucks , VMT ,1419991.0,1424651.0,1429307.0,1433959.0,1438606.0,1443249.0,1447887.0,1452522.0,1457151.0,1461692.0,1466398.0,1470944.0,1475504.0
Transportation,On-Road,Medium duty trucks , VMT ,387786.0,388841.0,389959.0,391142.0,392389.0,393699.0,395073.0,396512.0,398014.0,399075.0,401210.0,402454.0,403701.0
Transportation,On-Road,Passenger cars,VMT,12881945.0,12834624.0,12786667.0,12737992.0,12688656.0,12638629.0,12588103.0,12536849.0,12484999.0,12431643.0,12379304.0,12417699.0,12456065.0
Transportation,Railways,Diesel,liters,14098.0,14348.0,14348.0,14437.0,13985.0,13710.0,14050.0,12834.0,14775.0,14811.0,14761.0,13615.0,14620.0
Transportation,Railways,Electricity,kWh,953856.0,809111.0,819766.0,747111.0,718802.0,585981.0,591515.0,583232.0,596276.0,570346.0,556076.0,554345.0,500831.0
Waste,Biological treatment,CH4 and N2O from composting,MT,4991.0,6967.0,4995.0,3545.0,3919.0,4116.0,3807.0,3548.0,3895.0,5532.0,6971.0,8293.0,10814.0
Waste,Landfills,CH4,MT,2021979.0,1758924.0,1734874.0,1730869.0,1699178.0,1679645.0,1719175.0,1695509.0,1687225.0,1702001.0,1680420.0,1690923.0,1695239.0
Waste,Wastewater treatment,CH4,MT,163402.0,170871.0,304516.0,299658.0,267607.0,230426.0,248908.0,187499.0,164922.0,142468.0,152973.0,103514.0,73756.0
Waste,Wastewater treatment,N2O,MT,85120.0,82940.0,85474.0,87011.0,87617.0,83325.0,82857.0,77070.0,76551.0,76133.0,74890.0,70514.0,74177.0
